"customer_id","customer_type"
87,"Repeat_Customer"
74,"Repeat_Customer"
54,"Repeat_Customer"
71,"New_customers"
68,"New_customers"
34,"Repeat_Customer"
51,"Repeat_Customer"
96,"Repeat_Customer"
52,"Repeat_Customer"
80,"Repeat_Customer"
70,"Repeat_Customer"
83,"Repeat_Customer"
67,"Repeat_Customer"
63,"Repeat_Customer"
90,"Repeat_Customer"
10,"Repeat_Customer"
35,"Repeat_Customer"
45,"Repeat_Customer"
6,"Repeat_Customer"
84,"Repeat_Customer"
86,"Repeat_Customer"
39,"Repeat_Customer"
92,"Repeat_Customer"
93,"Repeat_Customer"
89,"Repeat_Customer"
69,"Repeat_Customer"
36,"Repeat_Customer"
31,"Repeat_Customer"
50,"Repeat_Customer"
60,"Repeat_Customer"
97,"Repeat_Customer"
14,"Repeat_Customer"
22,"New_customers"
59,"Repeat_Customer"
13,"Repeat_Customer"
65,"Repeat_Customer"
2,"Repeat_Customer"
16,"Repeat_Customer"
62,"Repeat_Customer"
75,"Repeat_Customer"
98,"Repeat_Customer"
73,"Repeat_Customer"
44,"Repeat_Customer"
11,"Repeat_Customer"
99,"Repeat_Customer"
42,"Repeat_Customer"
88,"Repeat_Customer"
82,"Repeat_Customer"
41,"Repeat_Customer"
46,"Repeat_Customer"
40,"Repeat_Customer"
43,"New_customers"
53,"Repeat_Customer"
32,"Repeat_Customer"
7,"Repeat_Customer"
9,"Repeat_Customer"
100,"Repeat_Customer"
38,"Repeat_Customer"
15,"Repeat_Customer"
79,"Repeat_Customer"
48,"New_customers"
12,"Repeat_Customer"
26,"Repeat_Customer"
85,"Repeat_Customer"
72,"Repeat_Customer"
95,"Repeat_Customer"
78,"Repeat_Customer"
24,"Repeat_Customer"
57,"Repeat_Customer"
81,"Repeat_Customer"
61,"Repeat_Customer"
19,"Repeat_Customer"
77,"Repeat_Customer"
25,"Repeat_Customer"
94,"New_customers"
30,"Repeat_Customer"
21,"Repeat_Customer"
49,"Repeat_Customer"
47,"Repeat_Customer"
3,"Repeat_Customer"
17,"Repeat_Customer"
20,"New_customers"
37,"Repeat_Customer"
28,"Repeat_Customer"
33,"New_customers"
1,"Repeat_Customer"
76,"Repeat_Customer"
5,"New_customers"
18,"Repeat_Customer"
64,"Repeat_Customer"
27,"Repeat_Customer"
23,"Repeat_Customer"
56,"Repeat_Customer"
91,"Repeat_Customer"
58,"Repeat_Customer"
8,"New_customers"
